period_id,date_from,date_to,days_from_start,days_to_start,strait_status,status_code,est_lost_bpd,is_estimate,stranded_ships,source_row_ids,notes,provenance
H01,2026-02-27,2026-02-28,0,1,Open (pre-war baseline),0,0,N,,"wt_0002,wt_0003",Baseline. War begins 27-28 Feb; strait still functioning normally at outset. ~17-18 mbpd total transit.,manual_curated
H02,2026-03-01,2026-03-03,2,4,Contested,1,500000,Y,,"wt_0022,wt_0039",IRGC drone/tanker attacks begin in and around the strait; traffic disrupted but not formally closed.,manual_curated
H03,2026-03-04,2026-03-11,5,12,Closed (de facto),3,1500000,Y,,"wt_0063,wt_0086,wt_0110",IRGC destroys ~10 vessels attempting transit (4 Mar) and warns traffic prohibited; strait effectively shut. Insurance spikes 4-6x by 9 Mar.,manual_curated
H04,2026-03-12,2026-03-15,13,16,Closed (policy),3,1600000,Y,3200.0,"wt_0117,wt_0125,wt_0143","New Supreme Leader vows to keep strait closed. Selective exceptions negotiated (Indian LNG tankers pass 14 Mar). ~3,200 vessels reported stranded west of strait (approx.).",manual_curated
H05,2026-03-16,2026-04-07,17,39,Partial (selective transit),2,1200000,Y,3200.0,"wt_0135,wt_0200","Tehran: strait 'open to all except US and its allies'. Pakistani-flagged and select ships permitted. Stranded backlog persists (~3,200 vessels, approx.).",manual_curated
H06,2026-04-08,2026-04-11,40,43,Closed (traffic paused),3,1500000,Y,,wt_0296,Iran pauses Hormuz traffic over Israeli attacks in Lebanon; ceasefire fraying.,manual_curated
H07,2026-04-12,2026-04-14,44,46,US naval blockade,4,1700000,Y,,"wt_0306,wt_0307",Trump declares US naval blockade of the strait; CENTCOM enforces on Iranian-port traffic. Blockade formally starts 13 Apr.,manual_curated
H08,2026-04-15,2026-05-02,47,64,Contested (blockade + counter-claims),1,1300000,Y,,"wt_0310,wt_0313,wt_0314,wt_0319",Trump declares strait 'permanently open' (15 Apr); Iran says it reasserted control (18 Apr). Gunboat engagements and vessel seizures continue; contested control.,manual_curated
H09,2026-05-03,2026-06-10,65,103,Partial (US-escorted transit),2,900000,Y,,"wt_0324,wt_0325,wt_0332",US 'Project Freedom' escorts US-flagged ships through; some transit resumes under convoy. Operation paused 6 May amid talks. Intermittent clashes.,manual_curated
H10,2026-06-11,2026-06-27,104,120,Closed (indefinite),3,1700000,Y,,"wt_0365,wt_0369",Iran declares INDEFINITE closure (11 Jun). Transits collapse to ~5 ships/day vs 26 prior (21 Jun).,manual_curated
H11,2026-06-28,2026-07-06,121,129,Partial (post-ceasefire easing),2,700000,Y,,"wt_0373,wt_0368",US-Iran agree to stop attacks (28 Jun); Islamabad Memorandum framework. Traffic partially eases during truce.,manual_curated
H12,2026-07-07,2026-07-10,130,133,Contested (truce breaking),1,1200000,Y,,"wt_0374,wt_0370",Iran strikes Qatari LNG tanker + others in Hormuz (7 Jul); truce violations mount; transit risk surges again.,manual_curated
H13,2026-07-11,2026-07-12,134,135,Closed (until further notice),3,1600000,Y,,"wt_0377,wt_0378",IRGC navy closes strait 'until further notice' (11 Jul) after warning shot; further vessel damage.,manual_curated
H14,2026-07-13,2026-07-16,136,139,US blockade + 20% toll,4,1700000,Y,,"wt_0379,wt_0381",US reinstates blockade and imposes 20% cargo toll ('Guardian of the Hormuz Strait'). Dataset ends 16 Jul with strait under militarized US control + Iranian contestation.,manual_curated
