event_id,rank,date,days_since_start,event,severity,category,oil_shock,gas_lng_shock,shipping_insurance,india_direct,escalation_dir,energy_target,countries_count,est_nifty_dir,reasoning,provenance
wt_0379,1,2026-07-13,136,"US declares 'Guardian of Hormuz', reinstates blockade + 20% cargo toll",5,Chokepoint / Norms,3,2,3,1,1,1,4,-1,Tolling a global chokepoint + Hormuz blockade = direct crude/freight spike; Indian crew killed. Strong negative India-import channel.,manual_curated
wt_0002,2,2026-02-27,0,Trump orders Operation Epic Fury (war initiation order),5,War Initiation,2,1,2,0,1,0,2,-1,War-onset shock; broad risk-off. Oil channel opens but no infrastructure hit yet.,manual_curated
wt_0035,3,2026-03-02,3,Natanz nuclear facility damaged (IAEA-confirmed); ground op inside Iran,5,Nuclear / WMD,1,0,1,0,1,0,2,-1,Max geopolitical severity but limited direct energy transmission; NIFTY impact via risk sentiment more than oil supply.,manual_curated
wt_0365,4,2026-06-11,104,Iran declares indefinite closure of Strait of Hormuz,5,Chokepoint,3,3,3,0,1,0,4,-1,The single strongest oil+gas+freight shock available; India's primary import route. Largest expected NIFTY drawdown driver.,manual_curated
wt_0119,5,2026-03-13,14,"US bombs Kharg Island, Iran's main oil-export hub",5,Energy Infrastructure,3,0,1,0,1,1,1,-1,"Removes major crude volume from market; strong oil channel, direct energy-target.",manual_curated
wt_0306,6,2026-04-12,44,US declares naval blockade of Strait of Hormuz,5,Chokepoint,3,2,3,0,1,0,2,-1,Blockade of India's key oil artery; crude + insurance channels both fire.,manual_curated
wt_0373,7,2026-06-28,121,US and Iran agree to stop attacks (ceasefire ending main war phase),4,Diplomacy / War Termination,-2,-1,-2,0,-1,0,2,1,De-escalation: expected relief rally / oil easing. Rare positive-direction event for NIFTY.,manual_curated
wt_0368,8,2026-06-21,114,Islamabad Memorandum in force; first US-Iran talks (Pakistan/Qatar mediated),4,Diplomacy / Brokerage,-1,-1,-1,0,-1,0,4,1,"Diplomatic progress; mild positive. Pakistan/Qatar brokerage, regional not Western.",manual_curated
wt_0070,9,2026-03-04,5,"QatarEnergy declares force majeure, shuts LNG liquefaction",4,Energy Market,1,3,1,0,1,1,1,-1,Largest LNG-supply cut; strong gas channel relevant to Indian gas importers.,manual_curated
wt_0374,10,2026-07-07,130,Iran strikes Qatari LNG tanker (Nakilat); US revokes Iran oil deal,4,Energy Market,2,3,2,0,1,1,3,-1,LNG carrier targeted + oil-deal collapse; gas and crude channels both active.,manual_curated
