raw_id,source,event_date,date_header,section,entry_type,text,source_url,scraped_at,Keyword_score,
wt_0379,wikipedia_timeline,7/13/2026,13-Jul,,li,"State media reported that an American strike hit a water pumping station in Bandar-e Mahshahr , killing one person, injuring four others. Iran claimed that it hit fuel tanks and weapons storage facilities in Prince Hassan Air Base, igniting a fire on them. It described the strike as the first stage of its retaliation to American attacks on its coastal bases. Iran said that in separate incidents the IRGC Navy executed an operation overnight to stop two vessels it accused of violating regulations and endangering shipping in the Strait through disabling their systems. Iran claimed that it hit American military facilities and infrastructure in Juffair in ""second phase of retaliation"". Iran also stated that it hit American airbases including Ali Al Salem and destroyed radar systems in Oman. Isfahan province deputy governor said that one of those American strikes hit a military base in Nain , killing one person and injuring seven others. Trump announced that the US will reinstate the "" Iranian blockade in the Strait of Hormuz "" and impose a 20% toll on cargo shipping through the strait. According to Trump, ""The U.S.A. will be, from this point forward, known as 'THE GUARDIAN OF THE HORMUZ STRAIT.'"" Trump described it as a matter of fairness, claiming that the toll would cover ""any and all costs necessary to do the job of providing safety and security to this very volatile section of the world."" American led Combined Maritime Forces ' Joint Maritime Information Centre (JMIC) announced that the US naval blockade on Iran will start the following day. Trump formally informed the US Congress that the country has renewed hostilities against Iran. Trump declared that the US will hit Iran hard on that day and the next day, saying that the MoU was a test that the regime did not honor. Trump stated that the US could ""relatively soon"" destroy Pickaxe Mountain , Iran's heavily fortified underground site suspected of hosting a covert nuclear plant that experts believe is beyond the reach of the most powerful bunker buster bombs in the US arsenal . Iranian army stated that it aimed at a ""hostile"" American vessel using cruise missiles. The US announced that it hit military targets throughout Iran including Bushehr, Chabahar , Jask , Konarak , Abu Musa , and Bandar Abbas. Two Emirati tankers were reportedly struck by Iranian cruise missiles in the Strait in Oman's territorial waters, killing one Indian crew member and injuring 10 other Indian crews, two of them critically.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#13_July,2026-07-17T02:45:35,6,
wt_0290,wikipedia_timeline,4/7/2026,7-Apr,,li,Trump said he agreed to a two-week ceasefire with Iran in exchange for the immediate reopening of the Strait of Hormuz .,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#7_April,2026-07-17T02:45:35,4,
wt_0306,wikipedia_timeline,4/12/2026,12-Apr,,li,"On his social media platform, Trump declared a naval blockade on the Strait of Hormuz, announcing that the US Navy will prevent ships from entering or exiting the Strait and intercept vessels that have paid tolls to Iran. United States Central Command announced that the blockade will be enforced on vessels of all nations entering or departing Iranian ports and coastal areas but ""will not impede freedom of navigation for vessels transiting the Strait of Hormuz to and from non-Iranian ports.""",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#12_April,2026-07-17T02:45:35,4,
wt_0374,wikipedia_timeline,7/7/2026,7-Jul,,li,"Iran reportedly launched at least two missiles at commercial vessels including Al Rekayyat, a liquefied natural gas tanker owned by Nakilat QGTS.QA, part of Qatari LNG industry in the Hormuz, causing significant damage. Iranian state TV reported that one of those vessels was struck after ignoring warning, without directly claiming responsibility. Qatar accused Iran of carrying the attack against its gas tanker, describing it as a clear violation of international law . On the same day, the UK military said that another tanker in the Hormuz was hit by an unidentified projectile. Americans announced that they revoked Iran oil sale and production deal in retaliation to the alleged Iranian attacks. Saudis condemned alleged Iranian attacks against one of their tankers and the Qatari tanker. Iran accused the US of violating the memorandum that ended the war with restoration of the oil sanctions.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#7_July,2026-07-17T02:45:35,4,
wt_0381,wikipedia_timeline,7/15/2026,15-Jul,,li,"Trump threatened that the US will target Iranian power plants and bridges next week if negotiations are not pursued by the Iranian regime. He suggested that while a ground campaign may be necessary, there are others who could conduct it for the US.  He stated he would authorize a seizure of Kharg Island only after US air and missile strikes have severely damaged Iran's coastal defenses and retaliatory capabilities. CENTCOM commander Admiral Brad Cooper said that Iran had deliberately attacked seven commercial vessels in the last week resulting in ""nearly a dozen"" civilian crews being killed, wounded or going missing. CENTCOM said that the US reinstated naval blockade on Iran ports, hit dozens of military sites in the vicinity of Hormuz the day before. Iran said that it targeted US sites in Jordan, Kuwait and Bahrain. IRIB reported that an American attack hit a wheat storage silo in Hoveyzeh . Kuwait said that Iranian attacks struck one of its navy ships , wounding four soldiers. On the same day, CENTCOM stated that the US military conducted another series of strikes on coastal defense systems and cruise missile storage and launch sites on Greater Tunb Island ""to further degrade military capabilities Iranian forces have used to attack commercial shipping in the Strait of Hormuz"". An Iranian drone attacked a warehouse in Al Shuaiba in Kuwait the day before, with Kuwait stating several vital and civilian facilities were targeted by Iran. Iran claimed the facility in was a logistics and supply hub for American forces in the West Asia. The US said that it redirected two commercial ships after restarting the naval blockade. American officials stated that recent US strikes on Iran are aimed at military abilities that may need to be neutralised before further sophisticated operations against the Iranian regime. The US announced that it carried out additional strikes on Iran. CENTCOM stated that the US military disabled an unladen oil tanker trying to sail to a port in Iran by firing hellfire missiles into its funnel .",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#15_July,2026-07-17T02:45:35,4,
wt_0117,wikipedia_timeline,3/12/2026,12-Mar,Other developments,p,"The first statement attributed to Iran's new Supreme Leader Mojtaba Khamenei was read in Iranian state media by a newsreader. In the statement, Mojtaba Khamenei vowed to keep the Strait of Hormuz closed and warned countries in the region to stop hosting US bases.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#12_March,2026-07-17T02:45:35,3,
wt_0126,wikipedia_timeline,3/14/2026,14-Mar,Other developments,p,"Trump called on several nations to send warships to help secure the Strait of Hormuz amid the Iranian closure, expressing hopes that the UK , France, China , South Korea, and Japan, would support this international effort.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#14_March,2026-07-17T02:45:35,3,
wt_0238,wikipedia_timeline,4/1/2026,1-Apr,,li,"US president Donald Trump delivered a speech stating the war's objectives were ""nearing completion,"" projecting it could last a few more weeks, and threatening to bomb Iran ""back to the stone age "" if it did not agree to reopen the Strait of Hormuz and ease disruptions to global energy markets.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#1_April,2026-07-17T02:45:35,3,
wt_0304,wikipedia_timeline,4/11/2026,11-Apr,,li,"Trump said that American forces started "" clearing "" the Strait of Hormuz . Iran claimed that an American vessel on way to the strait turned back after warning. The Wall Street Journal reported that several US Navy destroyers entered the Strait of Hormuz for the first time since the war began. A US official described the event as an ""operation that focused on freedom of navigation through International waters"". Iranian government reportedly threatened to attack the ships, accusing US of ceasefire violation. US Central Command said the ships are taking part in mine clearance operations.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#11_April,2026-07-17T02:45:35,3,
wt_0311,wikipedia_timeline,4/16/2026,16-Apr,,li,"China's foreign minister Wang Yi told his Iranian counterpart, that opening the Strait of Hormuz was of ""unanimous interest"".",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#16_April,2026-07-17T02:45:35,3,
wt_0312,wikipedia_timeline,4/17/2026,17-Apr,,li,Iranian foreign minister announced that passage of commercial vessels through the Strait of Hormuz would be permitted during the truce in Lebanon.,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#17_April,2026-07-17T02:45:35,3,
wt_0317,wikipedia_timeline,4/19/2026,19-Apr,,li,"The US intercepted an Iranian cargo ship in the Strait of Hormuz. Iran claimed this was a 'ceasefire violation' and promised a response. Iran retaliated against the seizure by firing drones at US ships, although no damage was reported.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#19_April,2026-07-17T02:45:35,3,
wt_0332,wikipedia_timeline,5/6/2026,6-May,,li,"President Trump temporary stopped the US military's ""Project Freedom"" operation to reopen the Strait of Hormuz, citing ""great progress"" at a potential deal with Iran. Trump added that the operation will be halted for ""a short period"" to determine whether a ""complete and final agreement"" with Iran could be achieved.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#6_May,2026-07-17T02:45:35,3,
wt_0334,wikipedia_timeline,5/7/2026,7-May,,li,"The US said that it carried out strikes on Iranian military sites in Bandar Abbas and Qeshm Island in response to an earlier combined missile, drone, and small boat attack on American destroyers crossing the Strait of Hormuz. Iran accused the US of violating the truce by targeting an Iranian oil tanker and another vessel. It also claimed that the US air strikes hit civilian areas in Qeshm Island, and coastal areas in its vicinity in Bandar Khamir and Sirik . The military said it targeted American military vessels east of the Strait of Hormuz and south of the Chabahar Port in response to these events.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#7_May,2026-07-17T02:45:35,3,
wt_0365,wikipedia_timeline,6/11/2026,11-Jun,,li,"Iran declared the indefinite closure of the Strait of Hormuz and says that it fired at communication antennas and radar facilities of US 5th Fleet, American military bases in Kuwait and Bahrain and an American command center in Jordan in response to the US attacks.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#11_June,2026-07-17T02:45:35,3,
wt_0369,wikipedia_timeline,6/21/2026,21-Jun,,li,"Five known ships pass through the Strait of Hormuz, down from 26 ships the previous day, amidst the re-closure.",https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war#21_June,2026-07-17T02:45:35,3,
